/net014 X,/net014 Y,/net015 X,/net015 Y
2.046135861500263e-09,0.8619411199590125,2.046135861500263e-09,-0.04293569732704607
2.052771220748824e-09,0.8619945139525136,2.052771220748824e-09,-0.04298464381397833
2.061403514138804e-09,0.8620950442079508,2.061403514138804e-09,-0.04308898479144768
2.067614429440205e-09,0.8621868128329258,2.067614429440205e-09,-0.04319208639537066
2.074793566504646e-09,0.862299939808359,2.074793566504646e-09,-0.04333139288015251
2.080463025388082e-09,0.862380377123473,2.080463025388082e-09,-0.04343888058798247
2.087847672192927e-09,0.8624587260939949,2.087847672192927e-09,-0.04355412279009348
2.099446187908758e-09,0.8625313962233526,2.099446187908758e-09,-0.04367708294337597
2.108061327604013e-09,0.8625567180421092,2.108061327604013e-09,-0.04372619217034665
2.116037455757473e-09,0.8625785376339292,2.116037455757473e-09,-0.04375746724421831
2.123784902462182e-09,0.8626263157024761,2.123784902462182e-09,-0.04381031834248097
2.13154995648585e-09,0.8627139895497087,2.13154995648585e-09,-0.04390452625432499
2.139108587865293e-09,0.8628231146893378,2.139108587865293e-09,-0.04402382111611342
2.1466871885917e-09,0.8629385203434971,2.1466871885917e-09,-0.04415738648180551
2.156543845625667e-09,0.8630673862472842,2.156543845625667e-09,-0.04431547384095119
2.169541461016311e-09,0.8631449211914679,2.169541461016311e-09,-0.0444131978653313
2.180291842552042e-09,0.8631436011483273,2.180291842552042e-09,-0.04440631264268995
2.18888613891316e-09,0.8631374442662494,2.18888613891316e-09,-0.04438056186161288
2.2e-09,0.8631489557726905,2.2e-09,-0.04436463991991346
2.201376727647077e-09,0.8631534193622999,2.201376727647077e-09,-0.04436655907741174
2.202753455294154e-09,0.8631581637241748,2.202753455294154e-09,-0.04436894214662828
2.205506910588309e-09,0.86316959956364,2.205506910588309e-09,-0.04437653687403312
2.20897106784508e-09,0.8631870023024765,2.20897106784508e-09,-0.04439057488290039
2.21243522510185e-09,0.8632070537858699,2.21243522510185e-09,-0.04440882069070274
2.214543452986193e-09,0.8632191140310669,2.214543452986193e-09,-0.04442060072709889
2.216689805849837e-09,0.8632307338505927,2.216689805849837e-09,-0.04443239618556641
2.218995523488447e-09,0.8632412299443479,2.218995523488447e-09,-0.04444383273166231
2.221036814828842e-09,0.863249496673951,2.221036814828842e-09,-0.04445340280879691
2.223624407249298e-09,0.8632570326100565,2.223624407249298e-09,-0.04446325108019358
2.226211999669754e-09,0.8632621985351137,2.226211999669754e-09,-0.04447099863569142
2.228481184390785e-09,0.863263916621283,2.228481184390785e-09,-0.04447506017467533
2.231180141718575e-09,0.8632643142142589,2.231180141718575e-09,-0.04447792409172629
2.233879099046366e-09,0.8632618432231902,2.233879099046366e-09,-0.04447718237675993
2.235323726861498e-09,0.8632597204954665,2.235323726861498e-09,-0.04447570481194344
2.236704921909139e-09,0.8632569218107371,2.236704921909139e-09,-0.04447323340519634
2.239467312004421e-09,0.8632495555668619,2.239467312004421e-09,-0.04446592209510566
2.244992092194985e-09,0.8632279635738491,2.244992092194985e-09,-0.04444237093972018
2.256041652576112e-09,0.8631664070133513,2.256041652576112e-09,-0.0443713342771818
2.265005616872437e-09,0.8631220660273752,2.265005616872437e-09,-0.04431539118537664
2.28056795712656e-09,0.8630764941257927,2.28056795712656e-09,-0.04426473110250426
2.29610126786737e-09,0.8630408550359511,2.29610126786737e-09,-0.04424321033743589
2.309463903367546e-09,0.86299724086206,2.309463903367546e-09,-0.04421402887656027
2.326557243468362e-09,0.8629242689360574,2.326557243468362e-09,-0.04414633105834517
2.340817220321097e-09,0.8628712113793594,2.340817220321097e-09,-0.04409462442885249
2.356167680050218e-09,0.8628246848418704,2.356167680050218e-09,-0.04405322191463708
2.371659100457711e-09,0.8628002190848877,2.371659100457711e-09,-0.04402975609084631
2.390854514819706e-09,0.8627877295069353,2.390854514819706e-09,-0.04401329480239363
2.410406706338608e-09,0.862767007115303,2.410406706338608e-09,-0.04399312637934333
2.433115680035201e-09,0.8627449786481838,2.433115680035201e-09,-0.04397157434994402
2.453642687149259e-09,0.8627678606677632,2.453642687149259e-09,-0.04398591386776624
2.475055507365069e-09,0.8627888468580148,2.475055507365069e-09,-0.04400780240993638
2.487527753682534e-09,0.8627840591705033,2.487527753682534e-09,-0.04400666684284527
2.5e-09,0.8627809777995711,2.5e-09,-0.0440035824942521
2.501400288271283e-09,0.8627813195962772,2.501400288271283e-09,-0.04400373802807688
2.502800576542566e-09,0.8627818574904469,2.502800576542566e-09,-0.04400405646658027
